Time,Channel A
(ms),(V)

-0.03972632,-0.69966730
-0.03940632,-0.70302440
-0.03908632,-0.70610680
-0.03876632,-0.70903650
-0.03844632,-0.71169160
-0.03812632,-0.71434680
-0.03780632,-0.71684930
-0.03748632,-0.71935180
-0.03716632,-0.72145750
-0.03684632,-0.72341070
-0.03652632,-0.72521130
-0.03620632,-0.72704240
-0.03588632,-0.72856840
-0.03556632,-0.73012480
-0.03524632,-0.73137610
-0.03492632,-0.73247470
-0.03460632,-0.73345140
-0.03428632,-0.73415330
-0.03396632,-0.73473310
-0.03364632,-0.73528240
-0.03332632,-0.73555710
-0.03300632,-0.73555710
-0.03268632,-0.73543510
-0.03236632,-0.73500780
-0.03204632,-0.73445840
-0.03172632,-0.73360400
-0.03140632,-0.73247470
-0.03108632,-0.73137610
-0.03076632,-0.72981970
-0.03044632,-0.72817160
-0.03012632,-0.72621850
-0.02980632,-0.72396010
-0.02948632,-0.72161010
-0.02916632,-0.71895500
-0.02884632,-0.71614740
-0.02852632,-0.71321760
-0.02820632,-0.71013520
-0.02788632,-0.70693080
-0.02756632,-0.70345160
-0.02724632,-0.69966730
-0.02692632,-0.69576100
-0.02660632,-0.69170200
-0.02628632,-0.68752100
-0.02596632,-0.68318740
-0.02564632,-0.67873170
-0.02532632,-0.67397080
-0.02500632,-0.66908780
-0.02468632,-0.66405220
-0.02436632,-0.65889460
-0.02404632,-0.65358440
-0.02372632,-0.64827420
-0.02340632,-0.64268930
-0.02308632,-0.63695180
-0.02276632,-0.63109230
-0.02244632,-0.62508010
-0.02212632,-0.61894590
-0.02180632,-0.61253700
-0.02148632,-0.60609760
-0.02116632,-0.59938350
-0.02084632,-0.59269990
-0.02052632,-0.58598590
-0.02020632,-0.57899710
-0.01988632,-0.57203890
-0.01956632,-0.56477550
-0.01924632,-0.55735950
-0.01892632,-0.54982150
-0.01860632,-0.54213080
-0.01828632,-0.53447070
-0.01796632,-0.52678000
-0.01764632,-0.51896730
-0.01732632,-0.51100190
-0.01700632,-0.50291450
-0.01668632,-0.49494920
-0.01636632,-0.48683130
-0.01604632,-0.47846920
-0.01572632,-0.47007660
-0.01540632,-0.46171450
-0.01508632,-0.45316930
-0.01476632,-0.44465470
-0.01444632,-0.43586530
-0.01412632,-0.42707600
-0.01380632,-0.41840880
-0.01348632,-0.40946680
-0.01316632,-0.40040280
-0.01284632,-0.39130830
-0.01252632,-0.38236640
-0.01220632,-0.37314980
-0.01188632,-0.36423840
-0.01156632,-0.35514390
-0.01124632,-0.34607990
-0.01092632,-0.33686330
-0.01060632,-0.32749410
-0.01028632,-0.31815550
-0.00996632,-0.30893890
-0.00964632,-0.29956970
-0.00932632,-0.29035310
-0.00900632,-0.28098390
-0.00868632,-0.27176730
-0.00836632,-0.26227610
-0.00804632,-0.25293740
-0.00772632,-0.24356820
-0.00740632,-0.23419900
-0.00708632,-0.22486040
-0.00676632,-0.21549120
-0.00644632,-0.20615250
-0.00612632,-0.19693590
-0.00580632,-0.18771930
-0.00548632,-0.17850280
-0.00516632,-0.16928620
-0.00484632,-0.16006960
