Time,Channel A
(ms),(V)

-0.09941000,-0.00250252
-0.09877000,-0.00219733
-0.09813000,-0.00219733
-0.09749000,-0.00219733
-0.09685000,-0.00219733
-0.09621000,-0.00219733
-0.09557000,-0.00219733
-0.09493000,-0.00219733
-0.09429000,-0.00189215
-0.09365000,-0.00164800
-0.09301000,-0.00189215
-0.09237000,-0.00219733
-0.09173000,-0.00219733
-0.09109000,-0.00219733
-0.09045000,-0.00219733
-0.08981000,-0.00189215
-0.08917000,-0.00189215
-0.08853000,-0.00189215
-0.08789000,-0.00164800
-0.08725000,-0.00134281
-0.08661000,-0.00164800
-0.08597000,-0.00134281
-0.08533000,-0.00103763
-0.08469000,-0.00103763
-0.08405000,-0.00079348
-0.08341000,-0.00103763
-0.08277000,-0.00079348
-0.08213000,-0.00048830
-0.08149000,-0.00024415
-0.08085000,-0.00048830
-0.08021000,-0.00048830
-0.07957000,-0.00048830
-0.07893000,-0.00079348
-0.07829000,-0.00103763
-0.07765000,-0.00079348
-0.07701000,-0.00079348
-0.07637000,-0.00079348
-0.07573000,-0.00103763
-0.07509000,-0.00103763
-0.07445000,-0.00134281
-0.07381000,-0.00219733
-0.07317000,-0.00274667
-0.07253000,-0.00390637
-0.07189000,-0.00500504
-0.07125000,-0.00640889
-0.07061000,-0.00787378
-0.06997000,-0.00952178
-0.06933000,-0.01178014
-0.06869000,-0.01434370
-0.06805000,-0.01715140
-0.06741000,-0.02056948
-0.06677000,-0.02392651
-0.06613000,-0.02819910
-0.06549000,-0.03271584
-0.06485000,-0.03778192
-0.06421000,-0.04376354
-0.06357000,-0.04968413
-0.06293000,-0.05645924
-0.06229000,-0.06378368
-0.06165000,-0.07171850
-0.06101000,-0.07989746
-0.06037000,-0.08868679
-0.05973000,-0.09802546
-0.05909000,-0.10815760
-0.05845000,-0.11865600
-0.05781000,-0.12964260
-0.05717000,-0.14123970
-0.05653000,-0.15314190
-0.05589000,-0.16553240
-0.05525000,-0.17828910
-0.05461000,-0.19153420
-0.05397000,-0.20538960
-0.05333000,-0.21979430
-0.05269000,-0.23480940
-0.05205000,-0.24951930
-0.05141000,-0.26477860
-0.05077000,-0.28058720
-0.05013000,-0.29670100
-0.04949000,-0.31305890
-0.04885000,-0.32978300
-0.04821000,-0.34644610
-0.04757000,-0.36365850
-0.04693000,-0.38117620
-0.04629000,-0.39899900
-0.04565000,-0.41651660
-0.04501000,-0.43488880
-0.04437000,-0.45326090
-0.04373000,-0.47193820
-0.04309000,-0.49055450
-0.04245000,-0.50923190
-0.04181000,-0.52815330
-0.04117000,-0.54738000
-0.04053000,-0.56660660
-0.03989000,-0.58552810
-0.03925000,-0.60475480
-0.03861000,-0.62367620
-0.03797000,-0.64259770
-0.03733000,-0.66158030
-0.03669000,-0.68050170
-0.03605000,-0.69887390
-0.03541000,-0.71694080
-0.03477000,-0.73500780
-0.03413000,-0.75283060
-0.03349000,-0.77010410
-0.03285000,-0.78646200
-0.03221000,-0.80233160
-0.03157000,-0.81728570
-0.03093000,-0.83169040
-0.03029000,-0.84524070
-0.02965000,-0.85799740
