Time,Channel A
(ms),(mV)

-0.09974900,-1.77922900
-0.09910900,-1.94708100
-0.09846900,-2.16071000
-0.09782900,-2.37128800
-0.09718900,-2.59712500
-0.09654900,-2.85348100
-0.09590900,-3.13425100
-0.09526900,-3.45774700
-0.09462900,-3.78429500
-0.09398900,-4.15051700
-0.09334900,-4.54725700
-0.09270900,-4.97146500
-0.09206900,-5.42313900
-0.09142900,-5.92974600
-0.09078900,-6.48213100
-0.09014900,-7.04672300
-0.08950900,-7.65404200
-0.08886900,-8.31629400
-0.08822900,-9.00906400
-0.08758900,-9.75676600
-0.08694900,-10.54720000
-0.08630900,-11.40782000
-0.08566900,-12.29896000
-0.08502900,-13.22977000
-0.08438900,-14.20331000
-0.08374900,-15.22263000
-0.08310900,-16.30909000
-0.08246900,-17.41081000
-0.08182900,-18.58272000
-0.08118900,-19.76684000
-0.08054900,-21.02420000
-0.07990900,-22.29682000
-0.07926900,-23.63658000
-0.07862900,-24.99161000
-0.07798900,-26.38935000
-0.07734900,-27.82983000
-0.07670900,-29.29777000
-0.07606900,-30.80843000
-0.07542900,-32.36182000
-0.07478900,-33.91522000
-0.07414900,-35.46861000
-0.07350900,-37.02200000
-0.07286900,-38.57234000
-0.07222900,-40.12573000
-0.07158900,-41.66387000
-0.07094900,-43.21726000
-0.07030900,-44.77065000
-0.06966900,-46.30878000
-0.06902900,-47.83471000
-0.06838900,-49.37284000
-0.06774900,-50.89572000
-0.06710900,-52.42164000
-0.06646900,-53.93230000
-0.06582900,-55.44297000
-0.06518900,-56.93838000
-0.06454900,-58.43378000
-0.06390900,-59.91699000
-0.06326900,-61.40018000
-0.06262900,-62.86813000
-0.06198900,-64.32081000
-0.06134900,-65.76128000
-0.06070900,-67.20175000
-0.06006900,-68.61171000
-0.05942900,-70.02472000
-0.05878900,-71.42246000
-0.05814900,-72.80495000
-0.05750900,-74.15997000
-0.05686900,-75.49974000
-0.05622900,-76.82729000
-0.05558900,-78.12738000
-0.05494900,-79.39695000
-0.05430900,-80.63905000
