Time,Channel A
(ms),(V)

-0.03995286,-0.52815330
-0.03963286,-0.53944520
-0.03931286,-0.55079810
-0.03899286,-0.56178470
-0.03867286,-0.57283240
-0.03835286,-0.58357500
-0.03803286,-0.59431740
-0.03771286,-0.60530410
-0.03739286,-0.61549730
-0.03707286,-0.62593460
-0.03675286,-0.63612780
-0.03643286,-0.64632100
-0.03611286,-0.65645310
-0.03579286,-0.66634110
-0.03547286,-0.67598500
-0.03515286,-0.68532370
-0.03483286,-0.69460130
-0.03451286,-0.70369580
-0.03419286,-0.71272930
-0.03387286,-0.72176280
-0.03355286,-0.73049100
-0.03323286,-0.73897520
-0.03291286,-0.74721520
-0.03259286,-0.75508900
-0.03227286,-0.76271860
-0.03195286,-0.77034820
-0.03163286,-0.77773370
-0.03131286,-0.78505810
-0.03099286,-0.79213850
-0.03067286,-0.79921870
-0.03035286,-0.80599390
-0.03003286,-0.81246380
-0.02971286,-0.81868950
-0.02939286,-0.82461010
-0.02907286,-0.83028660
-0.02875286,-0.83565780
-0.02843286,-0.84072390
-0.02811286,-0.84554580
-0.02779286,-0.85006250
-0.02747286,-0.85427410
-0.02715286,-0.85824150
-0.02683286,-0.86165960
-0.02651286,-0.86532180
-0.02619286,-0.86843470
-0.02587286,-0.87124240
-0.02555286,-0.87380590
-0.02523286,-0.87606440
-0.02491286,-0.87777330
-0.02459286,-0.87948240
-0.02427286,-0.88088630
-0.02395286,-0.88229010
-0.02363286,-0.88314460
-0.02331286,-0.88338880
-0.02299286,-0.88369390
-0.02267286,-0.88338880
-0.02235286,-0.88314460
-0.02203286,-0.88253430
-0.02171286,-0.88143560
-0.02139286,-0.88027590
-0.02107286,-0.87887200
-0.02075286,-0.87691890
-0.02043286,-0.87466050
-0.02011286,-0.87240210
-0.01979286,-0.86928920
-0.01947286,-0.86617630
-0.01915286,-0.86220890
-0.01883286,-0.85824150
-0.01851286,-0.85403000
-0.01819286,-0.84951320
-0.01787286,-0.84438610
-0.01755286,-0.83932010
-0.01723286,-0.83364360
-0.01691286,-0.82802820
-0.01659286,-0.82149730
-0.01627286,-0.81472210
-0.01595286,-0.80764190
-0.01563286,-0.80001220
-0.01531286,-0.79213850
-0.01499286,-0.78365430
-0.01467286,-0.77517010
-0.01435286,-0.76613660
-0.01403286,-0.75679800
-0.01371286,-0.74691000
-0.01339286,-0.73647270
-0.01307286,-0.72573020
-0.01275286,-0.71468250
-0.01243286,-0.70339060
-0.01211286,-0.69148840
-0.01179286,-0.67934200
-0.01147286,-0.66664630
-0.01115286,-0.65334030
-0.01083286,-0.63979010
-0.01051286,-0.62569050
-0.01019286,-0.61122470
-0.00987286,-0.59657580
-0.00955286,-0.58156070
-0.00923286,-0.56630150
-0.00891286,-0.55049290
-0.00859286,-0.53437910
-0.00827286,-0.51796010
-0.00795286,-0.50105290
-0.00763286,-0.48408460
-0.00731286,-0.46656700
-0.00699286,-0.44904940
-0.00667286,-0.43122660
-0.00635286,-0.41340370
-0.00603286,-0.39503160
-0.00571286,-0.37641530
-0.00539286,-0.35743280
-0.00507286,-0.33851130
