Time,Channel A
(ms),(mV)

-0.19851299,288.67460000
-0.19723299,288.75090000
-0.19595299,288.53720000
-0.19467299,288.12520000
-0.19339299,287.42330000
-0.19211299,286.44670000
-0.19083299,285.18020000
-0.18955299,283.71530000
-0.18827299,282.03680000
-0.18699299,280.14470000
-0.18571299,277.91680000
-0.18443299,275.46010000
-0.18315299,272.80490000
-0.18187299,269.93620000
-0.18059299,266.85380000
-0.17931299,263.57310000
-0.17803299,260.07870000
-0.17675299,256.29440000
-0.17547299,252.31180000
-0.17419299,248.25280000
-0.17291299,243.91920000
-0.17163299,239.43300000
-0.17035299,234.82470000
-0.16907299,230.00270000
-0.16779299,225.10450000
-0.16651299,220.06900000
-0.16523299,214.88080000
-0.16395299,209.49430000
-0.16267299,204.12300000
-0.16139299,198.58390000
-0.16011299,192.99900000
-0.15883299,187.32260000
-0.15755299,181.60040000
-0.15627299,175.71030000
-0.15499299,169.77450000
-0.15371299,163.76230000
-0.15243299,157.67390000
-0.15115299,151.50910000
-0.14987299,145.28340000
-0.14859299,139.07280000
-0.14731299,132.77080000
-0.14603299,126.54500000
-0.14475299,120.24290000
-0.14347299,113.95610000
-0.14219299,107.73030000
-0.14091299,101.50460000
-0.13963299,95.20248000
-0.13835299,88.99197000
-0.13707299,82.68990000
-0.13579299,76.54042000
-0.13451299,70.37568000
-0.13323299,64.22620000
-0.13195299,58.21405000
-0.13067299,52.18665000
-0.12939299,46.17450000
-0.12811299,40.23866000
-0.12683299,34.36384000
-0.12555299,28.62636000
-0.12427299,22.88888000
-0.12299299,17.21244000
-0.12171299,11.62755000
-0.12043299,6.10370200
-0.11915299,0.64088860
-0.11787299,-4.65407200
-0.11659299,-9.90325600
-0.11531299,-15.15244000
-0.11403299,-20.24903000
-0.11275299,-25.28458000
-0.11147299,-30.25910000
-0.11019299,-35.08102000
-0.10891299,-39.76562000
-0.10763299,-44.38917000
-0.10635299,-48.86013000
-0.10507299,-53.34635000
-0.10379299,-57.60368000
-0.10251299,-61.79998000
-0.10123299,-65.85894000
