Time,Channel A,Channel B
(ms),(V),(V)

-50.01619831,0.09018219,4.83260600
-49.99571831,0.04501480,4.92294100
-49.97523831,-0.00030519,4.83260600
-49.95475831,-0.00030519,4.92294100
-49.93427831,-0.04547258,4.92294100
-49.91379831,-0.04547258,4.92294100
-49.89331831,-0.09079257,5.01327600
-49.87283831,-0.13596000,5.01327600
-49.85235831,-0.13596000,5.01327600
-49.83187831,-0.18127990,5.10330500
-49.81139831,-0.18127990,5.10330500
-49.79091831,-0.22659990,5.10330500
-49.77043831,-0.22659990,5.10330500
-49.74995831,-0.27176730,5.10330500
-49.72947831,-0.31708730,5.19364000
-49.70899831,-0.36225470,5.19364000
-49.68851831,-0.36225470,5.19364000
-49.66803831,-0.36225470,5.28397500
-49.64755831,-0.40757470,5.28397500
-49.62707831,-0.45274210,5.28397500
-49.60659831,-0.45274210,5.28397500
-49.58611831,-0.49806210,5.28397500
-49.56563831,-0.54338200,5.28397500
-49.54515831,-0.54338200,5.28397500
-49.52467831,-0.58854940,5.28397500
-49.50419831,-0.63386950,5.28397500
-49.48371831,-0.63386950,5.37400400
-49.46323831,-0.63386950,5.37400400
-49.44275831,-0.67903690,5.37400400
-49.42227831,-0.72435680,5.37400400
-49.40179831,-0.72435680,5.37400400
-49.38131831,-0.76952420,5.37400400
-49.36083831,-0.76952420,5.37400400
-49.34035831,-0.81484420,5.37400400
-49.31987831,-0.86001160,5.37400400
-49.29939831,-0.86001160,5.37400400
-49.27891831,-0.90533160,5.37400400
-49.25843831,-0.90533160,5.37400400
-49.23795831,-0.95065160,5.28397500
-49.21747831,-0.95065160,5.28397500
-49.19699831,-0.99581900,5.37400400
-49.17651831,-0.99581900,5.37400400
-49.15603831,-1.04113900,5.37400400
-49.13555831,-1.08630600,5.37400400
-49.11507831,-1.08630600,5.37400400
-49.09459831,-1.13162600,5.37400400
-49.07411831,-1.13162600,5.37400400
-49.05363831,-1.17679400,5.37400400
-49.03315831,-1.17679400,5.37400400
-49.01267831,-1.22211400,5.46433900
-48.99219831,-1.26743400,5.46433900
-48.97171831,-1.26743400,5.46433900
-48.95123831,-1.31260100,5.46433900
-48.93075831,-1.31260100,5.46433900
-48.91027831,-1.35792100,5.46433900
-48.88979831,-1.35792100,5.55436800
-48.86931831,-1.40308800,5.55436800
-48.84883831,-1.40308800,5.55436800
-48.82835831,-1.40308800,5.64470300
-48.80787831,-1.44840800,5.64470300
-48.78739831,-1.49357600,5.64470300
-48.76691831,-1.49357600,5.64470300
-48.74643831,-1.53889600,5.64470300
-48.72595832,-1.53889600,5.64470300
-48.70547832,-1.58406300,5.73503800
-48.68499832,-1.58406300,5.82506800
-48.66451832,-1.62938300,5.82506800
-48.64403832,-1.62938300,5.82506800
-48.62355832,-1.67470300,5.82506800
-48.60307832,-1.71987100,5.82506800
-48.58259832,-1.71987100,5.82506800
-48.56211832,-1.71987100,5.91540300
-48.54163832,-1.76519100,5.82506800
-48.52115832,-1.81035800,6.00573700
-48.50067832,-1.81035800,6.00573700
-48.48019832,-1.85567800,5.91540300
-48.45971832,-1.85567800,6.00573700
-48.43923832,-1.90084500,6.00573700
-48.41875832,-1.94616500,5.91540300
-48.39827832,-1.94616500,6.00573700
-48.37779832,-1.94616500,6.00573700
-48.35731832,-1.99148500,6.00573700
-48.33683832,-1.99148500,6.00573700
-48.31635832,-2.03665300,5.91540300
-48.29587832,-2.08197300,5.91540300
-48.27539832,-2.08197300,5.91540300
-48.25491832,-2.08197300,5.91540300
-48.23443832,-2.08197300,5.91540300
-48.21395832,-2.12714000,5.91540300
-48.19347832,-2.17246000,5.91540300
-48.17299832,-2.17246000,5.91540300
-48.15251832,-2.17246000,5.91540300
-48.13203832,-2.21762800,5.91540300
-48.11155832,-2.21762800,5.91540300
-48.09107832,-2.26294800,5.91540300
-48.07059832,-2.30811500,5.91540300
-48.05011832,-2.30811500,5.91540300
-48.02963832,-2.30811500,5.82506800
-48.00915832,-2.35343500,5.91540300
-47.98867832,-2.35343500,5.91540300
-47.96819832,-2.35343500,5.91540300
-47.94771832,-2.39875500,5.82506800
-47.92723832,-2.44392200,5.91540300
-47.90675832,-2.44392200,5.91540300
-47.88627832,-2.44392200,5.91540300
-47.86579832,-2.48924200,5.91540300
-47.84531832,-2.53441000,5.91540300
-47.82483832,-2.53441000,5.82506800
-47.80435832,-2.53441000,5.91540300
-47.78387832,-2.57973000,5.91540300
-47.76339832,-2.57973000,5.91540300
-47.74291832,-2.62489700,5.91540300
-47.72243832,-2.62489700,5.91540300
-47.70195832,-2.67021700,5.91540300
