Frequency,Channel A,Channel B
(ms),(mV),(mV)

-50.03169179,2.91146600,8.16980500
-50.01121179,1.31840000,7.77153800
-49.99073179,-0.04272591,7.77153800
-49.97025179,-0.72023680,7.14590900
-49.94977179,-1.62968800,6.57673800
-49.92929179,-2.31330300,6.52027900
-49.90881179,-3.22275400,6.29291600
-49.88833179,-4.13220600,6.46382000
-49.86785179,-5.04165700,6.12201300
-49.84737179,-5.95110900,6.23645700
-49.82689179,-6.63472400,5.72374600
-49.80641179,-7.31833800,5.72374600
-49.78593179,-8.45362700,5.83666500
-49.76545179,-9.58891500,5.78020500
-49.74497179,-10.49837000,6.29291600
-49.72449179,-11.40782000,5.72374600
-49.70401179,-12.31727000,5.83666500
-49.68353179,-13.00088000,5.15457600
-49.66305179,-13.91034000,4.75630900
-49.64257179,-14.59395000,4.47248700
-49.62209179,-15.50340000,4.18714000
-49.60161179,-16.41285000,3.50505100
-49.58113179,-17.32230000,2.93588000
-49.56065179,-18.23176000,2.93588000
-49.54017179,-18.91537000,2.48115500
-49.51969179,-19.82482000,2.59407300
-49.49921179,-20.96011000,2.48115500
-49.47873179,-22.32734000,2.36671000
-49.45825179,-23.01095000,2.31025100
-49.43777179,-24.14624000,2.08288800
-49.41729179,-25.05570000,1.91198500
-49.39681179,-26.19098000,1.62816200
-49.37633179,-27.33237000,1.40080000
-49.35585179,-27.78405000,1.40080000
-49.33537179,-28.69350000,1.40080000
-49.31489179,-29.37712000,1.45725900
-49.29441179,-30.28657000,1.68462200
-49.27393179,-30.73824000,1.51371800
-49.25345179,-31.64769000,0.94454780
-49.23297179,-32.10547000,0.66072570
-49.21249179,-33.01492000,0.71718490
-49.19201179,-34.15021000,0.37690360
-49.17153179,-34.60799000,0.37690360
-49.15105179,-35.74327000,-0.01983703
-49.13057180,-36.87857000,-0.47608870
-49.11009180,-37.78802000,0.09155552
-49.08961180,-38.24580000,-0.01983703
-49.06913180,-39.38108000,-0.07782220
-49.04865180,-39.83276000,-0.24719990
-49.02817180,-40.97415000,-1.15817700
-49.00769180,-42.10944000,-1.72734700
-48.98721180,-42.79305000,-2.06762900
-48.96673180,-43.70250000,-2.52388000
-48.94625180,-44.83779000,-3.31888800
-48.92577180,-45.97308000,-3.31888800
-48.90529180,-46.88253000,-3.54777600
-48.88481180,-48.47560000,-3.94604300
-48.86433180,-49.15921000,-3.60423600
-48.84385180,-50.06866000,-3.71715400
-48.82337180,-50.75228000,-4.00250200
-48.80289180,-50.97812000,-4.11542100
-48.78241180,-51.43589000,-4.40076900
-48.76193180,-52.11951000,-4.51368700
-48.74145180,-52.57118000,-4.62813200
-48.72097180,-53.25480000,-4.96993900
-48.70049180,-53.93841000,-4.79903600
-48.68001180,-54.16425000,-5.25376100
-48.65953180,-55.29953000,-5.14084200
-48.63905180,-56.66677000,-5.25376100
-48.61857180,-57.35038000,-5.59556800
-48.59809180,-58.48567000,-5.82293100
-48.57761180,-59.39512000,-6.10827900
-48.55713180,-60.07874000,-6.33564200
-48.53665180,-61.21402000,-6.79036800
-48.51617180,-62.12347000,-6.50654600
-48.49569180,-63.03293000,-7.01773100
-48.47521180,-63.71654000,-7.13217500
-48.45473180,-64.85183000,-7.18863400
-48.43425180,-65.53545000,-7.87072300
-48.41377180,-66.21296000,-8.04162700
-48.39329180,-66.89657000,-8.26899100
-48.37281180,-67.58018000,-8.32697500
-48.35233180,-68.48964000,-8.49635300
-48.33185180,-68.94131000,-8.83816100
-48.31137180,-69.62492000,-9.23642600
-48.29089180,-70.53437000,-9.40733000
-48.27041180,-71.21799000,-9.29441200
-48.24993180,-72.12744000,-9.74913700
-48.22945180,-73.03690000,-9.63469200
-48.20897180,-74.17218000,-9.97650100
-48.18849180,-75.53941000,-10.43123000
-48.16801180,-76.22302000,-10.09094000
-48.14753180,-77.13248000,-10.31831000
-48.12705180,-77.81609000,-10.43123000
-48.10657180,-78.72554000,-10.09094000
-48.08609180,-79.63499000,-10.09094000
-48.06561180,-80.54444000,-10.43123000
-48.04513180,-80.77029000,-10.71657000
-48.02465180,-81.22806000,-11.17130000
-48.00417180,-82.36335000,-11.62603000
-47.98369180,-83.04697000,-11.56957000
-47.96321180,-84.18225000,-11.79693000
-47.94273180,-84.86587000,-12.36610000
-47.92225180,-85.09171000,-12.87729000
-47.90177180,-85.54948000,-13.21909000
-47.88129180,-86.45893000,-13.39000000
-47.86081180,-87.36839000,-13.27708000
-47.84033180,-88.04590000,-13.78826000
-47.81985180,-88.50368000,-14.13007000
-47.79937180,-88.50368000,-14.58479000
-47.77889180,-89.18729000,-14.92660000
-47.75841180,-90.32258000,-14.64125000
-47.73793180,-91.00620000,-14.87014000
-47.71745180,-91.68370000,-14.87014000
-47.69697180,-91.91564000,-15.09751000
-47.67649180,-92.36732000,-14.98306000
-47.65601180,-93.05093000,-15.21042000
-47.63553180,-93.96038000,-15.03952000
-47.61505180,-94.41206000,-15.49577000
-47.59457180,-95.09567000,-15.77959000
-47.57409180,-95.77929000,-15.55223000
-47.55361180,-96.46290000,-15.83605000
-47.53313180,-97.37235000,-15.83605000
-47.51265180,-98.04987000,-15.89404000
-47.49217181,-98.73348000,-16.06342000
-47.47169181,-99.41709000,-16.46168000
-47.45121181,-100.32650000,-16.46168000
-47.43073181,-100.77820000,-17.08884000
-47.41025181,-101.01020000,-17.37266000
-47.38977181,-101.46180000,-17.65648000
-47.36929181,-101.91960000,-17.99829000
-47.34881181,-102.59710000,-18.16919000
-47.32833181,-103.05490000,-18.39656000
-47.30785181,-103.05490000,-18.45302000
-47.28737181,-103.28070000,-18.39656000
-47.26689181,-103.73850000,-18.16919000
-47.24641181,-104.64800000,-18.68191000
-47.22593181,-104.87380000,-18.90927000
-47.20545181,-105.55740000,-19.36399000
-47.18497181,-106.00910000,-19.47844000
-47.16449181,-106.91850000,-19.36399000
-47.14401181,-108.74350000,-19.36399000
-47.12353181,-109.19520000,-19.53490000
-47.10305181,-109.65300000,-19.70580000
-47.08257181,-110.10470000,-19.59136000
-47.06209181,-111.02020000,-19.59136000
-47.04161181,-111.47190000,-19.47844000
-47.02113181,-111.92970000,-19.81872000
