Frequency,Channel A,Channel B
(ms),(mV),(mV)

-50.02553761,5.55436800,47.85913000
-50.00505761,3.28074000,47.18161000
-49.98457761,1.00711100,46.72994000
-49.96409761,-1.25125900,46.27216000
-49.94361761,-4.10473900,45.14297000
-49.92313761,-6.37836800,44.46547000
-49.90265761,-8.08740400,44.23963000
-49.88217761,-9.79644100,43.78185000
-49.86169761,-11.50548000,43.10434000
-49.84121761,-13.77911000,42.20099000
-49.82073761,-15.48814000,41.52348000
-49.80025761,-17.19718000,40.61403000
-49.77977761,-18.90622000,39.93652000
-49.75929761,-20.61525000,39.71068000
-49.73881761,-22.32429000,38.57539000
-49.71833761,-24.03333000,38.34956000
-49.69785761,-25.72710000,38.34956000
-49.67737761,-26.87155000,38.34956000
-49.65689761,-29.14518000,38.12372000
-49.63641761,-30.85421000,37.67205000
-49.61593761,-31.99866000,36.76870000
-49.59545761,-33.70769000,36.08509000
-49.57497761,-35.41673000,35.85925000
-49.55449761,-37.69036000,34.95590000
-49.53401761,-39.39939000,34.27839000
-49.51353761,-41.67302000,32.91726000
-49.49305761,-43.38206000,32.01391000
-49.47257761,-45.65569000,32.01391000
-49.45209761,-47.94458000,31.55614000
-49.43161761,-49.65361000,30.87863000
-49.41113761,-51.92724000,30.42695000
-49.39065761,-53.63628000,29.51750000
-49.37017761,-55.90990000,28.61415000
-49.34969761,-57.61894000,28.16248000
-49.32921761,-59.89257000,27.48497000
-49.30873761,-61.60161000,26.57552000
-49.28825761,-63.31064000,26.12384000
-49.26777761,-65.01968000,25.89801000
-49.24729761,-66.71346000,25.67217000
-49.22681761,-69.00235000,25.44633000
-49.20633762,-70.71139000,24.76882000
-49.18585762,-72.42042000,23.40770000
-49.16537762,-73.54960000,22.50435000
-49.14489762,-75.25864000,21.59490000
-49.12441762,-76.96767000,20.91739000
-49.10393762,-79.24131000,20.01404000
-49.08345762,-80.95035000,18.87875000
-49.06297762,-82.65938000,17.97540000
-49.04249762,-84.36842000,17.29789000
-49.02201762,-86.07745000,17.29789000
-49.00153762,-88.35108000,17.29789000
-48.98105762,-90.06012000,16.84011000
-48.96057762,-91.76915000,16.16260000
-48.94009762,-92.89834000,15.25925000
-48.91961762,-94.04278000,14.57564000
-48.89913762,-95.17197000,14.12397000
-48.87865762,-96.31641000,14.12397000
-48.85817762,-98.02545000,13.67229000
-48.83769762,-99.16989000,12.99478000
-48.81721762,-100.87890000,12.54311000
-48.79673762,-102.58800000,11.63366000
-48.77625762,-104.86160000,10.95614000
-48.75577762,-106.57060000,10.50447000
-48.73529762,-107.69980000,10.04669000
-48.71481762,-109.40890000,9.59501900
-48.69433762,-110.55330000,8.69167000
-48.67385762,-112.26230000,8.01416100
-48.65337762,-113.40680000,7.10470900
-48.63289762,-115.10050000,6.87887100
-48.61241762,-116.24500000,6.65303500
-48.59193762,-118.51860000,6.42719800
-48.57145762,-120.22770000,5.52385000
-48.55097762,-121.93670000,4.38856200
-48.53049762,-123.64570000,3.93688800
-48.51001762,-124.79020000,2.80770300
-48.48953762,-125.91940000,1.90435500
-48.46905762,-126.49920000,1.44657700
-48.44857762,-127.62840000,0.54322940
-48.42809762,-128.77280000,-0.80568860
-48.40761762,-130.48190000,-1.03762900
-48.38713762,-131.61110000,-1.71514000
-48.36665762,-132.75550000,-1.94097700
-48.34617762,-133.88470000,-2.16681400
-48.32569762,-135.59370000,-2.61848800
-48.30521762,-136.73820000,-3.29599900
-48.28473762,-137.30280000,-4.20545100
-48.26425762,-138.44720000,-4.43128700
-48.24377762,-139.57640000,-5.33463500
-48.22329762,-140.72080000,-6.24408700
-48.20281762,-141.85000000,-7.37327100
-48.18233762,-143.55910000,-7.82494600
-48.16185762,-144.70350000,-7.82494600
-48.14137762,-146.41250000,-8.50856000
-48.12089762,-148.68620000,-8.50856000
-48.10041762,-149.26600000,-9.41190800
-48.07993762,-150.39520000,-10.08942000
-48.05945762,-151.53960000,-10.77303000
-48.03897762,-153.24870000,-11.45054000
-48.01849762,-154.39310000,-12.12806000
-47.99801762,-156.08690000,-13.48918000
-47.97753762,-157.79590000,-14.16669000
-47.95705762,-158.94040000,-15.07004000
-47.93657762,-160.64940000,-15.52782000
-47.91609762,-161.77860000,-15.75365000
-47.89561762,-162.92310000,-15.97949000
-47.87513762,-164.06750000,-16.43117000
-47.85465762,-165.19670000,-17.10868000
-47.83417762,-165.76130000,-17.79229000
-47.81369762,-166.90570000,-18.69564000
-47.79321762,-168.05020000,-19.37315000
-47.77273762,-169.17930000,-20.05066000
-47.75225762,-170.32380000,-20.96011000
-47.73177762,-171.45300000,-21.86346000
-47.71129762,-172.59740000,-22.54707000
-47.69081762,-174.30650000,-23.22458000
-47.67033762,-176.01550000,-23.45042000
-47.64985762,-177.15990000,-24.12793000
-47.62937762,-178.28910000,-24.57961000
-47.60889762,-179.43360000,-25.03738000
-47.58841762,-181.14260000,-25.94073000
-47.56793762,-182.27180000,-26.39241000
-47.54745763,-183.41620000,-26.84408000
-47.52697763,-183.98080000,-27.52159000
-47.50649763,-184.56070000,-28.43104000
-47.48601763,-185.12530000,-28.88272000
-47.46553763,-186.25440000,-29.78606000
-47.44505763,-187.39890000,-31.14719000
-47.42457763,-187.96350000,-31.37303000
-47.40409763,-189.10790000,-32.28248000
-47.38361763,-190.25240000,-32.95999000
-47.36313763,-191.38160000,-33.41166000
-47.34265763,-192.52600000,-32.95999000
-47.32217763,-193.67050000,-33.41166000
-47.30169763,-194.79960000,-34.08917000
-47.28121763,-195.94410000,-34.54085000
-47.26073763,-197.07330000,-35.45030000
-47.24025763,-198.21770000,-35.90197000
-47.21977763,-198.78230000,-36.57948000
-47.19929763,-199.92670000,-37.03726000
-47.17881763,-201.07120000,-38.61812000
-47.15833763,-202.20040000,-40.20508000
-47.13785763,-202.78020000,-40.65676000
-47.11737763,-203.90940000,-40.88259000
-47.09689763,-205.05380000,-41.33427000
-47.07641763,-206.18300000,-42.24372000
-47.05593763,-207.32750000,-42.69539000
-47.03545763,-207.89210000,-43.82458000
-47.01497763,-208.45670000,-44.27625000
-46.99449763,-209.60110000,-44.05042000
-46.97401763,-210.73030000,-44.50819000
