Frequency,Channel A,Channel B
(ms),(V),(mV)

-50.01289025,0.06744590,299.66120000
-49.99241025,0.04486221,297.96740000
-49.97193025,0.02792444,296.25840000
-49.95145025,0.01098666,294.56460000
-49.93097025,-0.01144444,292.30620000
-49.91049025,-0.03418073,290.03260000
-49.89001025,-0.05111850,288.33890000
-49.86953025,-0.06805628,286.64510000
-49.84905025,-0.09063997,284.38670000
-49.82857025,-0.10773030,282.11310000
-49.80809025,-0.12466810,279.85470000
-49.78761025,-0.14725180,277.59630000
-49.76713025,-0.16418960,275.90260000
-49.74665025,-0.18692590,274.19350000
-49.72617025,-0.20950960,271.93520000
-49.70569025,-0.22644730,270.24140000
-49.68521025,-0.24338510,267.96770000
-49.66473025,-0.26047550,266.27400000
-49.64425025,-0.27741320,264.01560000
-49.62377025,-0.29435100,262.30660000
-49.60329025,-0.31128880,260.61280000
-49.58281025,-0.32258060,258.35440000
-49.56233025,-0.33967100,256.09600000
-49.54185025,-0.35660880,253.82240000
-49.52137025,-0.36790060,252.12860000
-49.50089025,-0.38483840,249.30570000
-49.48041025,-0.40177620,247.03210000
-49.45993025,-0.41871400,244.77370000
-49.43945025,-0.43580430,241.93550000
-49.41897025,-0.45274210,239.11250000
-49.39849025,-0.46967990,236.85410000
-49.37801025,-0.48661760,234.58050000
-49.35753025,-0.50370800,232.88670000
-49.33705025,-0.51499990,231.19290000
-49.31657025,-0.53193760,228.93460000
-49.29609025,-0.54322950,226.09640000
-49.27561025,-0.55452130,223.83800000
-49.25513025,-0.56596580,221.56440000
-49.23465025,-0.57725760,219.30600000
-49.21417025,-0.58854940,216.48300000
-49.19369025,-0.59984130,213.64480000
-49.17321025,-0.61677910,209.69270000
-49.15273025,-0.62807100,207.41900000
-49.13225025,-0.63936280,205.16070000
-49.11177025,-0.65645310,202.90230000
-49.09129026,-0.67339090,201.19330000
-49.07081026,-0.68468280,198.93490000
-49.05033026,-0.69597460,196.67650000
-49.02985026,-0.71291240,193.83830000
-49.00937026,-0.72420420,192.70910000
-48.98889026,-0.73549610,190.45070000
-48.96841026,-0.74694050,188.17710000
-48.94793026,-0.75258640,185.91870000
-48.92745026,-0.76387830,183.09580000
-48.90697026,-0.77517010,180.82220000
-48.88649026,-0.78646200,178.56380000
-48.86601026,-0.79775380,176.30540000
-48.84553026,-0.80904570,174.04700000
-48.82505026,-0.82033750,171.20880000
-48.80457026,-0.83162940,168.95050000
-48.78409026,-0.84307380,166.11220000
-48.76361026,-0.84871980,163.85390000
-48.74313026,-0.86001160,161.03090000
-48.72265026,-0.87130340,158.77250000
-48.70217026,-0.87694940,156.49890000
-48.68169026,-0.88824120,154.24050000
-48.66121026,-0.89953310,151.98220000
-48.64073026,-0.91097750,149.14390000
-48.62025026,-0.92791530,146.32100000
-48.59977026,-0.93920710,143.48280000
-48.57929026,-0.95049900,141.22440000
-48.55881026,-0.96179080,138.38620000
-48.53833026,-0.97323520,136.12780000
-48.51785026,-0.97888120,133.30480000
-48.49737026,-0.99017300,131.03120000
-48.47689026,-1.00146500,128.77280000
-48.45641026,-1.00711100,126.51450000
-48.43593026,-1.01840300,124.25610000
-48.41545026,-1.02969500,121.41790000
-48.39497026,-1.04098600,119.15950000
-48.37449026,-1.05227800,116.32130000
-48.35401026,-1.06372300,113.49830000
-48.33353026,-1.06936900,110.09550000
-48.31305026,-1.08066000,107.27260000
-48.29257026,-1.09195200,104.44960000
-48.27209026,-1.10324400,101.61140000
-48.25161026,-1.10889000,98.78841000
-48.23113026,-1.11453600,95.38560000
-48.21065026,-1.12582800,91.99804000
-48.19017026,-1.13712000,89.72442000
-48.16969026,-1.14856400,87.46604000
-48.14921026,-1.15421000,85.20767000
-48.12873026,-1.15985600,82.93404000
-48.10825026,-1.17114800,80.11108000
-48.08777026,-1.18244000,77.27287000
-48.06729026,-1.19373200,75.01449000
-48.04681026,-1.19937700,72.75612000
-48.02633026,-1.21066900,69.35331000
-48.00585026,-1.21631500,66.53035000
-47.98537026,-1.22776000,62.56294000
-47.96489026,-1.23905100,59.17539000
-47.94441026,-1.24469700,56.35242000
-47.92393026,-1.25034300,53.51420000
-47.90345026,-1.25598900,50.12665000
-47.88297026,-1.26163500,46.72383000
-47.86249026,-1.26728100,43.90088000
-47.84201026,-1.27872600,40.49806000
-47.82153026,-1.28437100,38.23969000
-47.80105026,-1.29001700,35.98132000
-47.78057026,-1.29566300,33.70769000
-47.76009026,-1.30695500,30.88473000
-47.73961026,-1.31824700,28.62636000
-47.71913026,-1.32953900,26.35273000
-47.69865026,-1.33518500,23.52977000
-47.67817026,-1.34083100,21.27140000
-47.65769026,-1.35212300,18.99777000
-47.63721026,-1.36341400,15.61022000
-47.61673026,-1.37485900,12.22266000
-47.59625026,-1.38050500,9.94903400
-47.57577026,-1.38615100,7.12607100
-47.55529026,-1.39744300,4.30311000
-47.53481026,-1.40873400,2.04474000
-47.51433026,-1.42002600,-0.77822200
-47.49385026,-1.42567200,-4.16577600
-47.47337026,-1.43131800,-7.56859000
-47.45289027,-1.43696400,-10.39155000
-47.43241027,-1.44261000,-13.79437000
-47.41193027,-1.45405400,-16.61733000
-47.39145027,-1.45970000,-19.45555000
-47.37097027,-1.46534600,-22.27851000
-47.35049027,-1.47099200,-24.53688000
-47.33001027,-1.48228400,-26.81051000
-47.30953027,-1.49357600,-28.50429000
-47.28905027,-1.49922200,-31.32725000
-47.26857027,-1.51051400,-33.58562000
-47.24809027,-1.51616000,-36.98843000
-47.22761027,-1.52180600,-39.81139000
-47.20713027,-1.52745100,-43.21421000
-47.18665027,-1.53874300,-47.18161000
-47.16617027,-1.54438900,-50.56916000
-47.14569027,-1.55003500,-53.39213000
-47.12521027,-1.56148000,-55.66576000
-47.10473027,-1.56712500,-59.05331000
-47.08425027,-1.57841700,-61.32694000
-47.06377027,-1.58970900,-64.71449000
-47.04329027,-1.60100100,-67.55272000
-47.02281027,-1.60664700,-69.81109000
-47.00233027,-1.61229300,-72.63405000
-46.98185027,-1.61793900,-75.47227000
-46.96137027,-1.62938300,-78.85983000
-46.94089027,-1.63502900,-81.69804000
-46.92041027,-1.64067500,-84.52100000
-46.89993027,-1.64632100,-86.21478000
-46.87945027,-1.65761300,-88.48841000
-46.85897027,-1.66890500,-91.31138000
-46.83849027,-1.68019700,-94.14960000
-46.81801027,-1.69148800,-96.97256000
-46.79753027,-1.69713400,-99.79552000
-46.77705027,-1.70857900,-102.06910000
-46.75657027,-1.71422500,-104.89210000
-46.73609027,-1.72551700,-107.71510000
-46.71561027,-1.73116200,-111.11790000
-46.69513027,-1.73680800,-113.94080000
-46.67465027,-1.74245400,-116.21450000
-46.65417027,-1.75374600,-119.03740000
-46.63369027,-1.76503800,-121.86040000
-46.61321027,-1.77633000,-124.69860000
-46.59273027,-1.78777400,-127.52160000
-46.57225027,-1.79342000,-130.92440000
-46.55177027,-1.79906600,-133.74740000
-46.53129027,-1.80471200,-136.58560000
-46.51081027,-1.81600400,-138.84390000
-46.49033027,-1.82165000,-141.66690000
-46.46985027,-1.82729600,-144.50510000
-46.44937027,-1.83858800,-146.76350000
-46.42889027,-1.84988000,-149.58650000
-46.40841027,-1.86117100,-151.86010000
-46.38793027,-1.87246300,-154.11850000
-46.36745027,-1.88390800,-156.37680000
-46.34697027,-1.88955400,-159.77960000
-46.32649027,-1.90084500,-162.03800000
-46.30601027,-1.91213700,-164.87620000
-46.28553027,-1.91778300,-167.69920000
-46.26505027,-1.92342900,-170.52220000
-46.24457027,-1.92907500,-173.92500000
-46.22409027,-1.94036700,-176.74790000
-46.20361027,-1.95181100,-179.58620000
