Frequency,Channel A,Channel B
(ms),(mV),(mV)

-50.02969131,6.13422000,5.49638300
-50.00921131,4.42518400,5.61235300
-49.98873131,2.71614700,5.27054600
-49.96825131,1.00711100,4.92873900
-49.94777131,-0.68666640,4.81582100
-49.92729131,-1.83111000,4.24512400
-49.90681131,-2.39570300,3.67748000
-49.88633131,-2.96029500,3.10983600
-49.86585131,-3.54014700,2.42622100
-49.84537131,-4.66933200,1.97149600
-49.82489131,-5.81377600,1.40385100
-49.80441131,-6.37836800,1.51677000
-49.78393131,-8.08740400,1.51677000
-49.76345131,-10.36103000,1.51677000
-49.74297131,-12.07007000,1.51677000
-49.72249131,-13.77911000,1.17496300
-49.70201131,-14.92355000,0.94912560
-49.68153131,-16.05273000,0.60731830
-49.66105131,-16.63259000,0.03662221
-49.64057131,-18.34162000,-0.41505170
-49.62009131,-18.90622000,-0.86977740
-49.59961131,-20.03540000,-1.21158500
-49.57913131,-21.17984000,-1.32450300
-49.55865131,-22.32429000,-1.55339200
-49.53817131,-24.03333000,-1.55339200
-49.51769131,-25.16251000,-1.55339200
-49.49721131,-26.30695000,-1.89214700
-49.47673131,-27.43614000,-2.23395500
-49.45625131,-28.01599000,-3.03048800
-49.43577131,-29.14518000,-3.48521400
-49.41529131,-30.28962000,-3.82702100
-49.39481131,-31.43406000,-3.93993900
-49.37433131,-32.56325000,-4.39771700
-49.35385131,-34.27229000,-4.62355400
-49.33337131,-35.98132000,-4.73647300
-49.31289131,-37.12576000,-5.30716800
-49.29241131,-38.83480000,-4.85244300
-49.27193131,-39.96399000,-4.62355400
-49.25145131,-41.10843000,-4.85244300
-49.23097131,-42.23761000,-4.96536200
-49.21049131,-43.94665000,-5.07827900
-49.19001131,-44.52650000,-5.76189500
-49.16953131,-45.65569000,-5.99078300
-49.14905131,-46.80013000,-5.76189500
-49.12857131,-48.50917000,-6.21662000
-49.10809131,-49.65361000,-6.78426500
-49.08761131,-50.78279000,-7.46787900
-49.06713131,-51.92724000,-8.26441200
-49.04665131,-53.05643000,-8.37733100
-49.02617131,-54.76546000,-8.15149300
-49.00569131,-55.90990000,-8.03552300
-48.98521132,-57.05435000,-7.92260500
-48.96473132,-57.61894000,-8.15149300
-48.94425132,-58.18354000,-8.60621900
-48.92377132,-58.74813000,-8.60621900
-48.90329132,-59.89257000,-8.83205600
-48.88281132,-60.45716000,-9.51567100
-48.86233132,-61.60161000,-9.97039600
-48.84185132,-62.73079000,-10.42512000
-48.82137132,-64.43983000,-11.10874000
-48.80089132,-65.58427000,-10.99582000
-48.78041132,-67.29331000,-11.10874000
-48.75993132,-69.00235000,-10.88290000
-48.73945132,-70.13153000,-10.76693000
-48.71897132,-71.84057000,-10.99582000
-48.69849132,-72.40516000,-11.56346000
-48.67801132,-73.54960000,-12.36000000
-48.65753132,-74.11420000,-13.04361000
-48.63705132,-75.82323000,-13.61125000
-48.61657132,-76.96767000,-13.84014000
-48.59609132,-79.24131000,-14.52071000
-48.57561132,-80.38575000,-14.63668000
-48.55513132,-80.95035000,-14.74959000
-48.53465132,-82.65938000,-14.86251000
-48.51417132,-83.80382000,-14.74959000
-48.49369132,-85.51286000,-14.86251000
-48.47321132,-86.07745000,-15.31724000
-48.45273132,-87.22189000,-15.31724000
-48.43225132,-86.64204000,-15.77502000
-48.41177132,-87.78649000,-16.34266000
-48.39129132,-88.93093000,-16.68447000
-48.37081132,-89.49553000,-16.68447000
-48.35033132,-90.62471000,-16.79739000
-48.32985132,-91.20457000,-17.02628000
-48.30937132,-91.76915000,-17.25211000
-48.28889132,-92.89834000,-17.82281000
-48.26841132,-94.60738000,-18.16462000
-48.24793132,-95.75182000,-18.27753000
-48.22745132,-97.46085000,-18.61934000
-48.20697132,-98.59004000,-19.07407000
-48.18649132,-100.29910000,-19.41587000
-48.16601132,-101.44350000,-19.41587000
-48.14553132,-103.15260000,-19.64171000
-48.12505132,-104.29700000,-19.75768000
-48.10457132,-105.42620000,-19.98352000
-48.08409132,-106.57060000,-20.66714000
-48.06361132,-107.69980000,-20.55421000
-48.04313132,-109.40890000,-21.00894000
-48.02265132,-109.98870000,-21.57659000
-48.00217132,-111.69770000,-21.68950000
-47.98169132,-112.82690000,-21.57659000
-47.96121132,-113.97140000,-21.80547000
-47.94073132,-115.10050000,-21.68950000
-47.92025132,-116.24500000,-21.91839000
-47.89977132,-116.80960000,-22.48604000
-47.87929132,-117.38940000,-22.60201000
-47.85881132,-118.51860000,-23.05673000
-47.83833132,-119.09850000,-23.62438000
-47.81785132,-120.80750000,-23.96618000
-47.79737132,-121.93670000,-24.64980000
-47.77689132,-123.08110000,-24.99161000
-47.75641132,-124.22560000,-24.99161000
-47.73593132,-125.35480000,-25.44633000
-47.71545132,-125.91940000,-25.33036000
-47.69497132,-127.06380000,-25.44633000
-47.67449132,-127.62840000,-25.67217000
-47.65401132,-128.77280000,-25.78814000
-47.63353132,-129.33740000,-26.01398000
-47.61305132,-129.90200000,-26.35578000
-47.59257132,-131.04650000,-26.35578000
-47.57209132,-132.17570000,-26.01398000
-47.55161132,-133.88470000,-26.24286000
-47.53113132,-134.46450000,-26.01398000
-47.51065132,-135.59370000,-26.23981000
-47.49017132,-135.59370000,-27.03635000
-47.46969132,-136.73820000,-27.03635000
-47.44921132,-137.86740000,-27.49412000
-47.42873132,-138.44720000,-27.71996000
-47.40825132,-139.57640000,-28.17469000
-47.38777132,-140.72080000,-29.08719000
-47.36729132,-141.86530000,-29.20011000
-47.34681133,-142.99450000,-29.31303000
-47.32633133,-144.70350000,-29.20011000
-47.30585133,-145.26810000,-29.20011000
-47.28537133,-145.84790000,-28.97122000
-47.26489133,-146.97710000,-29.42595000
-47.24441133,-147.55700000,-29.42595000
-47.22393133,-149.26600000,-29.20011000
-47.20345133,-150.39520000,-29.76775000
-47.18297133,-151.53960000,-29.88372000
-47.16249133,-152.10420000,-30.10956000
-47.14201133,-153.24870000,-30.22248000
-47.12153133,-154.95770000,-30.56429000
-47.10105133,-155.52230000,-30.79317000
-47.08057133,-156.66680000,-31.13498000
-47.06009133,-156.66680000,-31.36082000
-47.03961133,-157.23140000,-31.47374000
